Prompt,Query
Retrieve the event staff roles with the default flag set and order is not null.,"SELECT * FROM event_staff_roles WHERE is_default = true AND ""order"" IS NOT NULL;"
Get event actions performed by user_id '87654' and updated_at is not null.,SELECT * FROM event_actions WHERE user_id = '87654' AND updated_at IS NOT NULL;
Find form settings summary tools for facility_id '23456' or organization_id '54321'.,SELECT * FROM formsettings_summarytools WHERE (facility_id = '23456' OR organization_id = '54321') AND tools_id IS NOT NULL;
Get events where the harmt is not null or prescribers_id is not null and is_open is true.,SELECT * FROM events WHERE (harmt IS NOT NULL OR prescribers_id IS NOT NULL) AND is_open = true AND date_created IS NOT NULL;
Retrieve users with active status and updated after '2023-03-01' and type is not null.,SELECT * FROM users WHERE is_active = true AND updated_at > '2023-03-01' AND type IS NOT NULL;
Find organizations located in the city 'Seattle' and trial_ends_at is not null.,SELECT * FROM organizations WHERE city = 'Seattle' AND trial_ends_at IS NOT NULL;
Get pharmacies activated by 'Pharmacist B' and activate_at is not null.,SELECT * FROM pharmacies WHERE activate_at > '2023-01-01' AND activated_by = 'Pharmacist B';
Retrieve the staff directory for user_id '98765' and locum_full_name is not empty.,SELECT * FROM staff_directory WHERE user_id = '98765' AND locum_full_name <> '';
Find assets with an active status and created_at is not null.,SELECT * FROM assets WHERE active = true AND created_at IS NOT NULL;
Get hazards with the name 'Chemical Spill' and updated_at is not null.,SELECT * FROM hazards WHERE name = 'Chemical Spill' AND updated_at IS NOT NULL;
Retrieve the event staff roles with the forms_id '654' and updates_by is not null.,SELECT * FROM event_staff_roles WHERE forms_id = '654' AND updates_by IS NOT NULL;
Get event actions for events_id '321' and action_date is not null.,SELECT * FROM event_actions WHERE events_id = '321' AND action_date IS NOT NULL;
Find form settings summary tools for organization_id '876' and facility_id '543' and updated_by is not null.,SELECT * FROM formsettings_summarytools WHERE organization_id = '876' AND facility_id = '543' AND updated_by IS NOT NULL;
Get events reported by user_id '987' and date_created is not null.,SELECT * FROM events WHERE reporters_id = '987' AND date_created IS NOT NULL;
Retrieve users of type 'User' and date_updated is not null.,SELECT * FROM users WHERE type = 'User' AND date_updated IS NOT NULL;
Find organizations created after '2023-02-01' and countries_id is not null.,SELECT * FROM organizations WHERE created_at > '2023-02-01' AND countries_id IS NOT NULL;
Get pharmacies in the city 'Chicago' and created_at is not null.,SELECT * FROM pharmacies WHERE city = 'Chicago' AND created_at IS NOT NULL;
Retrieve the staff directory for user_id '13579' and official_user_id is not null.,SELECT * FROM staff_directory WHERE user_id = '13579' AND official_user_id IS NOT NULL;
Find assets with an active status and updated_at is not null.,SELECT * FROM assets WHERE active = true AND updated_at IS NOT NULL;
Get hazards associated with pharmacies_id '43210' and created_at is not null.,SELECT * FROM hazards WHERE pharmacies_id = '43210' AND created_at IS NOT NULL;
Retrieve the event staff roles with the default flag set and forms_id is not null.,SELECT * FROM event_staff_roles WHERE is_default = true AND forms_id IS NOT NULL;
Get event actions performed by user_id '65432' and updated_at is not null.,SELECT * FROM event_actions WHERE user_id = '65432' AND updated_at IS NOT NULL;
Find form settings summary tools for facility_id '54321' and organization_id '87654' and tools_id is not null.,SELECT * FROM formsettings_summarytools WHERE facility_id = '54321' AND organization_id = '87654' AND tools_id IS NOT NULL;
Get events where the harmt is not null or prescribers_id is not null and is_open is true and date_created is not null.,SELECT * FROM events WHERE (harmt IS NOT NULL OR prescribers_id IS NOT NULL) AND is_open = true AND date_created IS NOT NULL AND date_closed IS NOT NULL;
Retrieve users with active status and updated after '2023-04-01' and updated_at is not null.,SELECT * FROM users WHERE is_active = true AND updated_at > '2023-04-01' AND updated_at IS NOT NULL;
Find organizations located in the city 'Denver' and trial_ends_at is not null.,SELECT * FROM organizations WHERE city = 'Denver' AND trial_ends_at IS NOT NULL;
Get pharmacies activated by 'Pharmacist D' and activate_at is not null.,SELECT * FROM pharmacies WHERE activated_by = 'Pharmacist D' AND activate_at IS NOT NULL;
Retrieve the staff directory for user_id '97531' and employee_id is not null.,SELECT * FROM staff_directory WHERE user_id = '97531' AND employee_id IS NOT NULL;
Find assets with an active status and serial_number is not empty.,SELECT * FROM assets WHERE active = true AND serial_number <> '';
Get hazards with the name 'Chemical Spill' and description is not empty.,SELECT * FROM hazards WHERE name = 'Chemical Spill' AND description <> '';
Retrieve the event staff roles with the forms_id '654' and order is not null.,"SELECT * FROM event_staff_roles WHERE forms_id = '654' AND ""order"" IS NOT NULL;"
Get event actions for events_id '321' and action_date is not null and date_done is not null.,SELECT * FROM event_actions WHERE events_id = '321' AND action_date IS NOT NULL AND date_done IS NOT NULL;
Find form settings summary tools for organization_id '876' and facility_id '543' and updated_by is not null and updated_at is not null.,SELECT * FROM formsettings_summarytools WHERE organization_id = '876' AND facility_id = '543' AND updated_by IS NOT NULL AND updated_at IS NOT NULL;
Get events reported by user_id '987' and date_created is not null and updated_by is not null.,SELECT * FROM events WHERE reporters_id = '987' AND date_created IS NOT NULL AND updated_by IS NOT NULL AND harmt IS NOT NULL;
Retrieve users of type 'User' and active status is true and date_created is not null.,SELECT * FROM users WHERE type = 'User' AND is_active = true AND date_created IS NOT NULL AND sf_id IS NOT NULL;
Find organizations created after '2023-02-01' and countries_id is not null and trial_ends_at is not null.,SELECT * FROM organizations WHERE created_at > '2023-02-01' AND countries_id IS NOT NULL AND trial_ends_at IS NOT NULL AND name <> '';
Get pharmacies in the city 'Chicago' and created_at is not null and activated_by is not null.,SELECT * FROM pharmacies WHERE city = 'Chicago' AND created_at IS NOT NULL AND activated_by IS NOT NULL;
Retrieve the staff directory for user_id '13579' and official_user_id is not null and fixed is true.,SELECT * FROM staff_directory WHERE user_id = '13579' AND official_user_id IS NOT NULL AND fixed = true;
Find assets with an active status and updated_at is not null and asset_type_id is not null.,SELECT * FROM assets WHERE active = true AND updated_at IS NOT NULL AND asset_type_id IS NOT NULL;
Get hazards associated with pharmacies_id '43210' and created_at is not null and pharmacies_id is not null.,SELECT * FROM hazards WHERE pharmacies_id = '43210' AND created_at IS NOT NULL AND pharmacies_id IS NOT NULL;
Retrieve the event staff roles with the default flag set and forms_id is not null and facility_id is not null.,SELECT * FROM event_staff_roles WHERE is_default = true AND forms_id IS NOT NULL AND facility_id IS NOT NULL;
Get event actions performed by user_id '65432' and updated_at is not null and user_pharmacy_id is not null.,SELECT * FROM event_actions WHERE user_id = '65432' AND updated_at IS NOT NULL AND user_pharmacy_id IS NOT NULL;
Find form settings summary tools for facility_id '54321' and organization_id '87654' and tools_id is not null and updated_by is not null.,SELECT * FROM formsettings_summarytools WHERE facility_id = '54321' AND organization_id = '87654' AND tools_id IS NOT NULL AND updated_by IS NOT NULL;
Get events where the harmt is not null or prescribers_id is not null and is_open is true and date_created is not null and date_closed is not null.,SELECT * FROM events WHERE (harmt IS NOT NULL OR prescribers_id IS NOT NULL) AND is_open = true AND date_created IS NOT NULL AND date_closed IS NOT NULL;
Retrieve users with active status and updated after '2023-04-01' and updated_at is not null and date_updated is not null.,SELECT * FROM users WHERE is_active = true AND updated_at > '2023-03-01' AND type IS NOT NULL AND date_updated IS NOT NULL;
Find organizations located in the city 'Denver' and trial_ends_at is not null and countries_id is not null.,SELECT * FROM organizations WHERE city = 'Seattle' AND trial_ends_at IS NOT NULL AND countries_id IS NOT NULL;
Get pharmacies activated by 'Pharmacist D' and activate_at is not null and activated_by is not null.,SELECT * FROM pharmacies WHERE activated_by = 'Pharmacist B' AND activate_at IS NOT NULL;
Retrieve the staff directory for user_id '97531' and employee_id is not null and full_name is not empty.,SELECT * FROM staff_directory WHERE user_id = '98765' AND created_at IS NOT NULL;
Find assets with an active status and serial_number is not empty and asset_type_id is not null.,SELECT * FROM assets WHERE asset_type_id = '789' AND serial_number IS NOT NULL;
Get hazards with the name 'Chemical Spill' and description is not empty and pharmacies_id is not null.,SELECT * FROM hazards WHERE pharmacies_id = '65432' AND description <> '';
Retrieve the event staff roles with the forms_id '654' and order is not null and name is not empty.,SELECT * FROM event_staff_roles WHERE forms_id = '654' AND order IS NOT NULL;
Get event actions for events_id '321' and action_date is not null and date_done is not null and updated_by is not null.,SELECT * FROM event_actions WHERE events_id = '987' AND updated_by = 'John Smith';
Find form settings summary tools for organization_id '876' and facility_id '543' and updated_by is not null and tools_id is not null.,SELECT * FROM formsettings_summarytools WHERE organization_id = '543' AND updated_by = 'Jane Doe';
Get events reported by user_id '987' and date_created is not null and updated_by is not null and harmt is not null.,SELECT * FROM events WHERE reporters_id = '321' AND harmt IS NOT NULL;
Retrieve users of type 'User' and active status is true and date_created is not null and sf_id is not null.,SELECT * FROM users WHERE type = 'Admin' AND is_active = true;
